text,chapter,gpt_4o_mini,gpt_5.4_mini,deepseek_v4_flash,deepseek_v4_pro,claude_haiku_4_5
And it means having respect for yourself and your own decisions.,29,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.",",Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.",",Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"When the clitoris is touched and rubbed, a female’s body feels good both outside and inside.",7,",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No,No.,Yes,No.,No,No.,No,No.,No,No.,No.,No,No.,No.,No.,No.,No,No,No.,No,No,No.,No.,No.,No.,No,no,No,No",",No,No,Yes,yes,no,No,Yes,No,Yes,Yes,Yes,no,no,no,Yes,Yes,no,Yes,no,Yes,Yes,No,Yes,yes,yes,No,No,No,No,No",",Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes"
"You may wonder, safe from what?",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"And it’s important to know that a person’s daily life — making a home, having friends and fun, working, being in love, being single, being a partner, being married, raising children — is mostly the same whether he or she is straight, gay, bi­sexual, or trans­gender.",5,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,Yes,Yes,yes,Yes,Yes,yes,yes,yes,Yes,yes,yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"That’s because you can find facts on the Internet about topics such as the real risks of unprotected sexual contact, including pregnancy and the very real risk of being infected by a sexually transmitted disease.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes.,yes,Yes.,Yes,Yes,Yes,Yes.,No,Yes,Yes.,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,no,No,Yes,Yes,No,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"And if you read something in a text message, an instant message, or receive an e-mail that worries you in any way, do not reply.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
It could have difﬁculty eating and breathing and growing properly.,20,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
The cervical cap and diaphragm are small rubbery cups that fit inside the vagina and are placed against the cervix before sexual intercourse.,23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes.,No.,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,yes,Yes,Yes,Yes,Yes,Yes,Yes,No.,Yes,yes,Yes,No,Yes,Yes,No,yes,Yes,No,Yes",",Yes,Yes,yes,No,yes,Yes,no,no,no,Yes,Yes,no,Yes,No,Yes,No,Yes,Yes,Yes,yes,No,yes,no,Yes,yes,No,no,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Saying something mean, or bullying someone, or spreading any kind of gossip, even sexy gossip, about another person, can make that person feel really crummy and can hurt that person’s feelings.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,No.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,No",",No,No,no,No,no,No,no,No,no,No,no,No,No,No,No,No,No,No,No,No,No,No,No,no,No,No,No,No,No,No",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
The vaccine works best before a person has any kind of sexual contact.,27,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes",",Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,No,yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
The fertilized egg is then put into the first female’s uterus so that a pregnancy can begin.,22,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes.,Yes.,Yes,Yes",",Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",yes,Yes,Yes,Yes,yes,Yes,yes,Yes,yes,yes,Yes,yes,yes,yes,Yes,yes,yes,yes,Yes,Yes,yes,yes,yes,yes,Yes,Yes,yes,Yes,yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
The scientiﬁc term for a wet dream is nocturnal emission.,12,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes",",Yes,yes,Yes,yes,yes,Yes,yes,yes,Yes,yes,Yes,yes,yes,yes,yes,Yes,yes,yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,yes,Yes,yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
This opening stretches wide when it’s time for a baby to be born.,7,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Even so, people think that kids should stay away from porn.",25,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes.,Yes,Yes.,No.,No.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes.,No.,Yes,Yes.,Yes.,No.,Yes,No.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No.,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,Yes",",No,No,No,No,No,Yes,No,No,no,no,yes,no,no,no,No,No,no,Yes,No,no,No,No,no,No,No,No,no,no,No,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
This new kind of sweating is often one of the ﬁrst signs that puberty is starting.,14,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Viruses that are trans- mitted by sexual contact, such as HIV and hepatitis B can seep through the tiny pores in the lambskin and cause a person to become infected.",23,",Yes.,No.,No.,Yes.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,Yes.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.,No.",",Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No.,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,yes",",yes,Yes,yes,no,yes,Yes,yes,yes,No,no,no,no,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,No,yes,no,no,No,Yes,no,Yes,yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"Herpes 1 causes blister- like sores to form on or near a person’s lips, mouth, nose, and eyes.",27,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,No.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
"To reproduce means to “produce again,” or “make again.” Certain parts of our bodies make it possible for a male and a female, when their bodies have grown up, to reproduce — to make babies.",2,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes.,Yes",",Yes,Yes,yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,yes,yes,Yes,yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
It takes only a few minutes to perform a circumcision.,21,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes.,Yes.,Yes.",",Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes,Yes.,Yes.",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,yes,Yes,yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
A female must remember to follow the directions for taking a pill each day for this method to work.,23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes",",Yes,Yes,Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes",",Yes,Yes,Yes,No,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,Yes,Yes,Yes,Yes,yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
Neighborhood health clinics or family planning clinics are also places to go for information.,23,",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.",",Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes.,Yes",",Yes,Yes,Yes.,Yes,Yes,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes.,Yes.,Yes,Yes.,Yes,Yes,Yes,Yes",",Yes,yes,Yes,yes,Yes,yes,Yes,Yes,Yes,yes,yes,No,yes,yes,Yes,Yes,Yes,Yes,Yes,Yes,yes,yes,yes,yes,yes,Yes,yes,Yes,yes,Yes",",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes"
